City_ID,City,Country,Max Temp,Weather Description,lat,lng,Hotel Name
1,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
3,Byron Bay,AU,80.49,overcast clouds,-28.65,153.6167,Backpackers Inn
5,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
7,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Coahuayana,MX,78.37,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
11,Carnarvon,AU,75.27,light rain,-24.8667,113.6333,Hospitality Carnarvon
12,Busselton,AU,70.0,broken clouds,-33.65,115.3333,Observatory Guest House
18,Arraial Do Cabo,BR,76.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Saint-Philippe,RE,73.11,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
26,Atuona,PF,79.66,clear sky,-9.8,-139.0333,Villa Enata
29,Auki,SB,84.51,broken clouds,-8.7676,160.7034,Auki Motel
30,Paita,PE,73.13,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
31,Tabou,CI,78.19,overcast clouds,4.423,-7.3528,hotêl doufoulougou
35,Rikitea,PF,75.04,clear sky,-23.1203,-134.9692,People ThankYou
39,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Cabo San Lucas,MX,80.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Sao Filipe,CV,70.97,scattered clouds,14.8961,-24.4956,Hotel Xaguate
44,East London,ZA,66.92,light rain,-33.0153,27.9116,Tu Casa
50,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
52,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
53,Kiunga,PG,84.99,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
56,Araouane,ML,84.31,clear sky,18.9048,-3.5265,
57,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Puerto Ayora,EC,78.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Cidreira,BR,70.79,clear sky,-30.1811,-50.2056,Hotel Castelo
69,Dunmore Town,BS,77.36,clear sky,25.5,-76.65,Coral Sands Hotel
72,Inhambane,MZ,77.97,scattered clouds,-23.865,35.3833,Oceano
73,Jutai,BR,67.91,overcast clouds,-5.1833,-68.9,
75,Saint-Pierre,RE,73.18,moderate rain,-21.3393,55.4781,Lindsey Hôtel
76,Phalodi,IN,77.25,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
77,Nata,PA,82.17,few clouds,8.3333,-80.5167,Rey David
78,Faanui,PF,82.26,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
80,Soyo,AO,79.09,overcast clouds,-6.1349,12.3689,Hotel Mpampa
87,Hithadhoo,MV,83.07,clear sky,-0.6,73.0833,Scoop Guest House
97,Yeppoon,AU,83.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
101,Tuy Hoa,VN,72.36,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
102,Touros,BR,77.61,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
104,Namibe,AO,70.95,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
105,Luganville,VU,78.33,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
106,Sur,OM,83.46,broken clouds,22.5667,59.5289,Sur Plaza Hotel
108,Garowe,SO,70.21,clear sky,8.4054,48.4845,Curubo Hotel
111,Richards Bay,ZA,70.9,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
112,Rodrigues Alves,BR,71.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
113,Mormugao,IN,78.06,few clouds,15.4,73.8,Coconut Creek Resort
114,Petatlan,MX,80.4,broken clouds,17.5167,-101.2667,Hotel California Petatlán
115,Along,IN,67.42,overcast clouds,28.1667,94.7667,Hotel West
116,Hurghada,EG,78.6,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
118,Manoharpur,IN,73.99,clear sky,27.3,75.95,कैथल हरियाणा होटल
119,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
124,Basco,PH,74.89,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
125,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
126,Gao,ML,83.34,scattered clouds,16.6362,1.637,
127,Hwange,ZW,70.93,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
129,Lorengau,PG,79.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Airai,TL,68.04,broken clouds,-8.9266,125.4092,
132,Marzuq,YE,68.32,clear sky,14.4,46.4667,
133,Kavieng,PG,80.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
134,Port Augusta,AU,68.92,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
136,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
137,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
142,Dakar,SN,68.13,scattered clouds,14.6937,-17.4441,Novotel Dakar
144,Conceicao Do Araguaia,BR,74.41,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
146,Ayorou,NE,84.07,overcast clouds,14.7308,0.9174,Hotel Amenokal
149,Bandundu,CD,71.1,overcast clouds,-3.3167,17.3667,Coja Color
150,Biak,ID,79.56,light rain,-0.9131,122.8766,Penginapan Kim
151,Isangel,VU,84.31,overcast clouds,-19.55,169.2667,Tanna Lodge
152,Sola,VU,75.87,light intensity shower rain,-13.8833,167.55,Leumerus Bungalows
154,Barroquinha,BR,73.78,broken clouds,-3.0189,-41.1361,Pousada barroquinha
159,Obo,CF,71.2,light rain,5.3998,26.4869,
161,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
162,Pacific Grove,US,66.54,clear sky,36.6177,-121.9166,Lovers Point Inn
164,Dod Ballapur,IN,71.44,clear sky,13.2919,77.5431,OYO 40115 J P Palace
167,Mbengwi,CM,66.51,overcast clouds,6.0167,10.0,Senate Hotel
169,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Ugoofaaru,MV,82.71,clear sky,5.6667,73.0,Ungoofaaru Inn
171,Sorong,ID,80.92,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
172,Esperance,AU,75.04,scattered clouds,-33.8667,121.9,Hospitality Esperance
173,Mecca,SA,79.61,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
174,Victoria,HK,65.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
175,Sibolga,ID,75.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
176,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
179,Mendoza,AR,67.53,clear sky,-32.8908,-68.8272,Hotel Mendoza
180,Khanpur,PK,73.56,clear sky,28.6453,70.6567,Ahmad Bartan store
181,Sabang,ID,80.13,light rain,5.8933,95.3214,Hotel Citra
182,Kudahuvadhoo,MV,82.51,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
183,Mbandaka,CD,70.05,overcast clouds,0.0487,18.2603,Guest House Epervier
184,Adrar,MR,75.54,clear sky,20.5022,-10.0711,
187,Vao,NC,79.2,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
188,Gallup,US,66.96,clear sky,35.5281,-108.7426,El Capitan Motel
193,Kokopo,PG,80.35,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
196,Gamba,GA,74.3,overcast clouds,-2.65,10.0,
198,Tapes,BR,68.74,clear sky,-30.6733,-51.3958,Cabanas Camping Union
203,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
204,Santa Rosa,PH,84.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
206,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
207,Prado,BR,77.11,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
211,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
212,Salinas,US,74.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
214,Port Blair,IN,80.85,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
215,Caravelas,BR,76.24,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
216,Waingapu,ID,81.5,clear sky,-9.6567,120.2641,Pondok Wisata Elim
217,Anito,PH,81.93,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
224,Santa Isabel Do Rio Negro,BR,72.95,overcast clouds,-0.4139,-65.0192,Hotel GSA
227,Rawson,AR,70.09,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
228,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
230,Rudbar,AF,66.99,clear sky,30.15,62.6,
234,Port Macquarie,AU,73.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
236,Mabaruma,GY,72.73,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
239,Flinders,AU,74.37,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
241,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
242,Rio Grande,BR,65.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
244,Cananeia,BR,69.6,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
245,Nagothana,IN,72.91,overcast clouds,18.5333,73.1333,Kamath Residency Nature Resort And Restaurant.
249,Chochola,MX,84.22,overcast clouds,20.75,-89.8333,Chablé Yucatán
250,Ambulu,ID,80.8,clear sky,-8.345,113.6058,Hotel Ambulu Jember
252,Panlaitan,PH,82.2,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
253,Bandarbeyla,SO,76.6,clear sky,9.4942,50.8122,JABIR HOTEL
254,Hattiesburg,US,73.33,clear sky,31.3271,-89.2903,Deluxe Inn
255,El Alto,PE,70.75,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
257,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
258,Broken Hill,AU,67.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
261,Itamaraca,BR,82.45,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
262,Matara,LK,76.39,few clouds,5.9485,80.5353,Amaloh Boutique Resort
268,Nkhotakota,MW,70.97,light rain,-12.9274,34.2961,Sitima Inn
272,Gizo,SB,83.53,light rain,-8.103,156.8419,Imagination Island
