City_ID,City,Country,lat,lng,Max Temp,% Humidity,% Cloudiness,Wind Speed (mph),Weather Description
0,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,3.0,moderate rain
1,Hilo,US,19.7297,-155.09,78.53,81,100,12.66,overcast clouds
2,Geraldton,AU,-28.7667,114.6,75.61,88,75,6.91,broken clouds
3,Byron Bay,AU,-28.65,153.6167,80.49,66,94,9.01,overcast clouds
4,Westport,US,41.1415,-73.3579,48.33,52,0,5.99,clear sky
5,Salalah,OM,17.0151,54.0924,75.29,57,0,1.14,clear sky
6,Grindavik,IS,63.8424,-22.4338,45.07,100,100,11.5,moderate rain
7,Kapaa,US,22.0752,-159.319,80.58,75,100,21.85,overcast clouds
8,Coahuayana,MX,18.7333,-103.6833,78.37,58,77,6.82,broken clouds
9,College,US,64.8569,-147.8028,23.0,71,100,4.61,light snow
10,Hay River,CA,60.8156,-115.7999,3.18,78,75,9.22,broken clouds
11,Carnarvon,AU,-24.8667,113.6333,75.27,88,75,9.22,light rain
12,Busselton,AU,-33.65,115.3333,70.0,88,74,12.06,broken clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,87,20,5.75,few clouds
14,Bluff,NZ,-46.6,168.3333,58.26,71,92,18.54,overcast clouds
15,Ponta Do Sol,PT,32.6667,-17.1,62.01,83,100,9.93,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,4.61,clear sky
17,Albany,US,42.6001,-73.9662,44.64,53,25,5.48,scattered clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,76.26,89,93,16.58,overcast clouds
19,Saskylakh,RU,71.9167,114.0833,-0.2,97,98,9.4,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,60.8,82,72,13.6,broken clouds
21,Zhezkazgan,KZ,47.8043,67.7144,43.93,54,99,3.78,overcast clouds
22,Westerland,DE,54.9079,8.3033,33.82,80,8,5.75,clear sky
23,Strezhevoy,RU,60.7333,77.5889,2.07,99,85,3.71,overcast clouds
24,Vaini,TO,-21.2,-175.2,86.16,62,40,4.61,scattered clouds
25,Saint-Philippe,RE,-21.3585,55.7679,73.11,96,100,16.82,heavy intensity rain
26,Atuona,PF,-9.8,-139.0333,79.66,74,2,15.61,clear sky
27,Tasiilaq,GL,65.6145,-37.6368,26.76,94,100,20.62,snow
28,Lebu,CL,-37.6167,-73.65,54.32,84,100,15.48,overcast clouds
29,Auki,SB,-8.7676,160.7034,84.51,71,78,3.78,broken clouds
30,Paita,PE,-5.0892,-81.1144,73.13,79,85,18.37,overcast clouds
31,Tabou,CI,4.423,-7.3528,78.19,89,100,8.57,overcast clouds
32,Freeport,US,40.6576,-73.5832,49.32,68,0,19.57,clear sky
33,Thompson,CA,55.7435,-97.8558,30.36,43,75,4.61,broken clouds
34,Mount Isa,AU,-20.7333,139.5,87.57,18,4,10.36,clear sky
35,Rikitea,PF,-23.1203,-134.9692,75.04,57,7,7.58,clear sky
36,Barrow,US,71.2906,-156.7887,-3.98,77,40,16.11,haze
37,Mount Gambier,AU,-37.8333,140.7667,60.67,72,61,5.57,broken clouds
38,Mataura,NZ,-46.1927,168.8643,61.57,59,79,5.95,broken clouds
39,Souillac,MU,-20.5167,57.5167,75.58,100,75,6.91,light rain
