City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Malakal,SS,2022-04-02 19:58:25,9.5334,31.6605,92.35,12,75,5.01
1,Mataura,NZ,2022-04-02 19:58:26,-46.1927,168.8643,47.79,95,68,2.86
2,Jamestown,US,2022-04-02 19:56:57,42.097,-79.2353,49.51,35,100,4.0
3,Khuldabad,IN,2022-04-02 19:58:26,20.05,75.1833,80.67,18,100,7.96
4,Rio Tercero,AR,2022-04-02 19:58:27,-32.173,-64.1141,74.8,27,0,18.79
5,Hobyo,SO,2022-04-02 19:58:27,5.3505,48.5268,81.7,72,47,12.12
6,Victor Harbor,AU,2022-04-02 19:58:27,-35.5667,138.6167,56.77,83,74,6.42
7,Dunedin,NZ,2022-04-02 19:58:28,-45.8742,170.5036,57.79,86,26,5.46
8,Alamos,MX,2022-04-02 19:57:53,27.0167,-108.9333,88.43,13,4,7.34
9,Qaanaaq,GL,2022-04-02 19:58:28,77.484,-69.3632,14.11,82,89,4.21
10,Rikitea,PF,2022-04-02 19:54:29,-23.1203,-134.9692,74.3,56,23,6.33
11,Yellowknife,CA,2022-04-02 19:57:42,62.456,-114.3525,3.29,46,20,5.75
12,Nadvoitsy,RU,2022-04-02 19:58:29,63.8667,34.3167,16.34,94,100,5.77
13,Toktogul,KG,2022-04-02 19:58:29,41.8708,72.9402,50.74,58,0,4.05
14,Ushuaia,AR,2022-04-02 19:58:30,-54.8,-68.3,40.66,93,100,4.61
15,Iqaluit,CA,2022-04-02 19:58:30,63.7506,-68.5145,26.33,86,100,6.91
16,Grand Gaube,MU,2022-04-02 19:56:58,-20.0064,57.6608,74.37,91,100,7.0
17,Punta Arenas,CL,2022-04-02 19:58:30,-53.15,-70.9167,42.91,87,75,9.22
18,Longyearbyen,SJ,2022-04-02 19:58:31,78.2186,15.6401,1.24,71,20,9.22
19,Albany,US,2022-04-02 19:58:31,42.6001,-73.9662,49.95,37,17,7.0
20,Voi,KE,2022-04-02 19:58:31,-3.3945,38.563,75.38,80,100,5.75
21,Victoria,HK,2022-04-02 19:55:01,22.2855,114.1577,62.26,67,99,11.01
22,San Quintin,MX,2022-04-02 19:58:32,30.4833,-115.95,63.36,60,35,8.75
23,Ahipara,NZ,2022-04-02 19:58:32,-35.1667,173.1667,64.62,83,100,2.86
24,Meulaboh,ID,2022-04-02 19:58:33,4.1363,96.1285,77.68,85,96,1.81
25,Port Augusta,AU,2022-04-02 19:58:33,-32.5,137.7667,60.42,52,96,4.7
26,Souillac,MU,2022-04-02 19:58:33,-20.5167,57.5167,73.78,100,75,9.22
27,Xixiang,CN,2022-04-02 19:58:34,35.1628,112.865,47.1,42,0,4.59
28,Hilo,US,2022-04-02 19:57:09,19.7297,-155.09,73.26,90,100,5.75
29,Imbituba,BR,2022-04-02 19:58:34,-28.24,-48.6703,70.3,80,69,4.85
30,Kavaratti,IN,2022-04-02 19:58:35,10.5669,72.642,82.44,72,10,3.51
31,Mar Del Plata,AR,2022-04-02 19:55:42,-38.0023,-57.5575,69.87,58,0,20.0
32,Bulgan,MN,2022-04-02 19:58:35,48.8125,103.5347,37.74,26,100,4.83
33,Port Alfred,ZA,2022-04-02 19:58:36,-33.5906,26.891,65.17,89,100,3.0
34,Arraial Do Cabo,BR,2022-04-02 19:58:36,-22.9661,-42.0278,80.46,78,75,13.8
35,Coahuayana,MX,2022-04-02 19:55:31,18.7333,-103.6833,86.61,43,87,8.97
36,Vaini,TO,2022-04-02 19:58:36,-21.2,-175.2,73.56,100,75,0.0
37,Bambous Virieux,MU,2022-04-02 19:58:09,-20.3428,57.7575,74.21,100,75,9.22
38,Mahebourg,MU,2022-04-02 19:58:37,-20.4081,57.7,74.25,100,75,9.22
39,Airai,TL,2022-04-02 19:58:37,-8.9266,125.4092,56.61,71,53,1.7
40,Busselton,AU,2022-04-02 19:58:38,-33.65,115.3333,69.55,84,97,9.37
41,Goderich,CA,2022-04-02 19:58:38,43.7501,-81.7165,37.72,60,100,8.05
42,Bethel,US,2022-04-02 19:54:21,41.3712,-73.414,55.02,40,16,1.99
43,Koppal,IN,2022-04-02 19:58:38,15.35,76.15,81.21,60,14,10.13
44,De Aar,ZA,2022-04-02 19:59:39,-30.6497,24.0123,62.2,71,68,16.2
45,Saint Anthony,US,2022-04-02 19:59:39,45.0205,-93.218,52.93,46,88,5.99
46,Hambantota,LK,2022-04-02 19:59:39,6.1241,81.1185,79.0,82,18,5.01
47,Mayo,US,2022-04-02 19:59:40,38.8876,-76.5119,59.67,46,0,7.0
48,Glomfjord,NO,2022-04-02 19:59:40,66.8167,13.9667,26.22,93,100,5.82
49,Sabha,LY,2022-04-02 19:59:40,27.0377,14.4283,80.58,14,100,10.04
50,Sorland,NO,2022-04-02 19:59:41,67.667,12.6934,33.96,56,100,22.95
51,Jatai,BR,2022-04-02 19:59:41,-17.8814,-51.7144,80.6,67,43,4.61
52,Mimongo,GA,2022-04-02 19:59:41,-1.6195,11.6068,69.62,98,82,2.48
53,Leningradskiy,RU,2022-04-02 19:59:42,69.3833,178.4167,-7.17,97,100,9.89
54,Tura,IN,2022-04-02 19:55:40,25.5198,90.2201,69.51,90,5,3.33
55,Cidreira,BR,2022-04-02 19:59:42,-30.1811,-50.2056,70.99,73,5,15.37
56,Hobart,AU,2022-04-02 19:59:43,-42.8794,147.3294,55.26,84,100,8.05
57,Kaeo,NZ,2022-04-02 19:59:43,-35.1,173.7833,61.32,96,100,2.17
58,Muisne,EC,2022-04-02 19:59:43,0.6,-80.0333,81.5,74,43,9.06
59,Barrow,US,2022-04-02 19:56:54,71.2906,-156.7887,-14.22,99,94,11.77
60,Belaya Gora,RU,2022-04-02 19:59:44,68.5333,146.4167,-7.06,98,100,2.53
